,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweet Count
41,BBC,Sun Jun 24 19:03:02 +0000 2018,"Follow the inner workings of @nytimes, one of the most prolific American media outlets, during the first 12 months… https://t.co/sTcKSPw5QW",0.0,0.0,1.0,0.0,42
42,BBC,Sun Jun 24 18:32:03 +0000 2018,🚗 🇸🇦 Women in Saudi Arabia are hitting the road as the country's ban on women driving officially ends. https://t.co/RLv1njCk5t,-0.5574,0.0,0.833,0.167,43
43,BBC,Sun Jun 24 18:10:27 +0000 2018,"RT @BBCWthrWatchers: Beautiful ""night shining"" clouds, captured by our Weather Watchers #NoctilucentClouds https://t.co/FE9F3YQ3Kd",0.5994,0.245,0.755,0.0,44
44,BBC,Sun Jun 24 18:04:04 +0000 2018,"This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/AOmhtLjldy",-0.5267,0.0,0.805,0.195,45
45,BBC,Sun Jun 24 17:08:05 +0000 2018,"43% of female festival goers under 40 say they've faced unwanted sexual behaviour at a music festival, a new survey… https://t.co/Wd5gcaHCgH",0.6705,0.263,0.658,0.078,46
46,BBC,Sun Jun 24 16:02:06 +0000 2018,"Imagine waking up one morning and you've lost the ability to speak or move your hands.
(via @BBCThree) https://t.co/M8IJVGSoE7",0.0,0.106,0.787,0.106,47
47,BBC,Sun Jun 24 15:18:03 +0000 2018,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/HHjrHbsIb8",0.0,0.0,1.0,0.0,48
48,BBC,Sun Jun 24 14:29:47 +0000 2018,"RT @BBCMOTD: #ENG win 6-1 ✅
On a Sunday ✅
In the Sun ✅

Live scenes across England right now ☀🎉

#ENGPAN https://t.co/pOqaVykdHG",0.5859,0.174,0.826,0.0,49
49,BBC,Sun Jun 24 14:20:08 +0000 2018,"❤️💍 Game of Thrones stars, Rose Leslie and Kit Harington have tied the knot at a ceremony in Aberdeenshire.
👉… https://t.co/VzvDpNHgRO",0.0,0.0,1.0,0.0,50
50,BBC,Sun Jun 24 13:03:02 +0000 2018,"💔🦍 Koko the gorilla sadly passed away this week, aged 46.

This is the story of her life. https://t.co/rIRb7mHpJx",-0.4215,0.0,0.865,0.135,51
51,BBC,Sun Jun 24 12:02:03 +0000 2018,🐛 Did you know there's a whole world on the back of a sloth?  https://t.co/wRWmXa7j4R,0.0,0.0,1.0,0.0,52
52,BBC,Sun Jun 24 11:04:03 +0000 2018,"🥑🥕🌞 These summery vegan dishes are perfect for when it's hot (and still delicious when it's not!) 

👉… https://t.co/n8Nra5f9Jl",0.8268,0.312,0.688,0.0,53
53,BBC,Sun Jun 24 10:52:39 +0000 2018,"RT @BBCWorld: ""At last!""

Saudi Arabia becomes the last country in the world to allow women to drive. https://t.co/vfOqNTBk9o https://t.co/…",0.2942,0.103,0.897,0.0,54
54,BBC,Sun Jun 24 10:03:02 +0000 2018,"Getting ready for #ENG v #PAN like... ️⚽️🏆💪 @JKCorden #WorldCup 

https://t.co/EbID4RxLuE",0.3612,0.217,0.783,0.0,55
55,BBC,Sun Jun 24 09:33:12 +0000 2018,"RT @BBC6Music: Ah, it seems so peaceful @GlastoFest this weekend. (via @bbcsomerset)  https://t.co/JzF0sbDEEh",0.6269,0.255,0.745,0.0,56
56,BBC,Sun Jun 24 09:04:05 +0000 2018,"Today, England play their first ever match against #WorldCup debutants Panama. 🦁🦁🦁

World Cup 2018: #ENG v #PAN | 1… https://t.co/rZLcc8qfZ8",0.34,0.118,0.882,0.0,57
57,BBC,Sun Jun 24 08:37:50 +0000 2018,"RT @BBCWorld: New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland 👶🇳🇿

https://t.co/5E751apfOg https://t.co/Zt7…",0.0,0.0,1.0,0.0,58
58,BBC,Sun Jun 24 08:20:08 +0000 2018,"What's happened since #BluePlanet2 first aired and what does Sir David Attenborough think about the response?
👉… https://t.co/Qo4Nu3wQHT",0.0,0.0,1.0,0.0,59
59,BBC,Sun Jun 24 07:01:05 +0000 2018,"⚽️❤️ I. Bloody. Love. Football. 
#WorldCup https://t.co/vrmHGAfFYY",0.3182,0.347,0.413,0.24,60
60,BBC,Sat Jun 23 20:12:00 +0000 2018,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/KwcWT38E6F",0.0,0.0,1.0,0.0,61
61,BBC,Sat Jun 23 19:02:02 +0000 2018,"Live coverage of England's clash with New Zealand in Colorado, USA. 🏉

Rugby League: New Zealand v England | 9pm |… https://t.co/gNfWK4lAsg",0.0,0.0,1.0,0.0,62
62,BBC,Sat Jun 23 17:06:01 +0000 2018,☀️🙌 Thousands of people gathered at Stonehenge this week to watch the sunrise and celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK,0.5719,0.179,0.821,0.0,63
63,BBC,Sat Jun 23 16:02:02 +0000 2018,"⚽🐝 Goal!!!
These clever bumblebees have been taught to play football. https://t.co/00fEPKxEYQ",0.7412,0.386,0.614,0.0,64
64,BBC,Sat Jun 23 15:00:27 +0000 2018,"📱♿️ This 13-year-old made an app to help disabled people find accessible services. 
(via @BBCThree) https://t.co/EkjrhQOFi3",0.4019,0.153,0.847,0.0,65
65,BBC,Sat Jun 23 14:02:01 +0000 2018,"Unlocking the hidden life of Frida Kahlo.
👉 https://t.co/g8KqGCs5JX https://t.co/SyRnFXRvNQ",0.0,0.0,1.0,0.0,66
66,BBC,Sat Jun 23 12:57:05 +0000 2018,"🎶🎤Meet the stockbroker who writes hits for @LittleMix and @JessGlynne 

https://t.co/zYl0M4CHcj https://t.co/s8HYxwiDKr",0.0,0.0,1.0,0.0,67
67,BBC,Sat Jun 23 12:00:16 +0000 2018,"🎶 SOUND ON 🎶 
Below the big blue there is green! 💚
#OurBluePlanet w/ @OceanX https://t.co/E46jJvtmrN",0.0,0.0,1.0,0.0,68
68,BBC,Sat Jun 23 11:01:06 +0000 2018,"Faced with extreme weather, Bolivian farmers are going underground.
#BBCTakingTheTemperature https://t.co/ocATWI0jPL",0.0,0.0,1.0,0.0,69
69,BBC,Sat Jun 23 10:02:04 +0000 2018,"The ban on microbeads in certain products has begun in England and Scotland.

Here are some natural alternatives so… https://t.co/vqESNyr5qD",0.0,0.183,0.675,0.143,70
70,BBC,Sat Jun 23 09:01:05 +0000 2018,"😍🐿 Baby squirrels grow up so fast! 
#SuperSquirrels https://t.co/NzSE4lUIC8",0.0,0.0,1.0,0.0,71
